Work date,Project name,Type,Page number,Std. DUR,Real DUR,Contents,Designer,Status,Start work,End work,"Break/Fix/
Check",Note ,,,,,,,,,,,,,,,,,
11/20/2015,N-asset,Edit,3,,2,"S?a design các trang: Client list, Interview list, Interview detail",TruyenLC,done,08:30,10:30,,,,,,,,,,,,,,,,,,,
11/20/2015,Freesale VN site,Edit,3,,2.5,S?a responsive,TruyenLC,done,15:00,17:30,,,,,,,,,,,,,,,,,,,
11/23/2015,N-asset,Code,3,8,8,"Coding for 3 pages: Client list, Interview list, Interview detail",TruyenLC,done,08:30,17:30,01:00,,,,,,,,,,,,,,,,,,
11/24/2015,N-asset,Code,1,,4,Fix error in admin for Custom Field Template Plugin,TruyenLC,done,08:30,13:30,01:00,,,,,,,,,,,,,,,,,,
11/24/2015,Freesale VN site,Content,9,,4,Update content for Customer Pages,TruyenLC,done,13:30,17:30,,,,,,,,,,,,,,,,,,,
11/25/2015,Freesale VN site,Edit,,,2.5,S?a slider Khách hàng ? trang ch?,TruyenLC,done,13:00,15:30,,,,,,,,,,,,,,,,,,,
11/25/2015,Freesale VN site,Edit,,,2,S?a link t? slider Khách hàng ??n trang Customer,TruyenLC,not yet,15:30,17:30,,,,,,,,,,,,,,,,,,,
11/9/2015,Panda,New,,,7,Edit map HaNoi - Restaurant ,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/10/2015,Panda,New,,,8,V? map HCM,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/11/2015,Panda,New,,,8,V? map HCM + sua map HN,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/12/2015,Panda,New,,,8,thêm title map HCM + map HN,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/13/2015,Panda,New,,,8,sua map HCM (??i ti?ng tên các nhà hàng khách s?n qua tieng nhat,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/16/2015,Panda,New,,,8,sua map HCM (??i ti?ng tên các nhà hàng khách s?n qua tieng nhat,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/17/2015,Panda,New,,,8,V? l?i map cùa HCM,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/18/2015,Panda,New,,,8,Design trang Gofl ,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/19/2015,Panda,New,,,6,"sua ten nhà hàng, khách s?n map HN , HCM",DucTP,,,,,,,,,,,,,,,,,,,,,,
11/20/2015,Panda,New,,,8,"thi?t k? trang Spa, edit trang gofl",DucTP,,,,,,,,,,,,,,,,,,,,,,
11/23/2015,Panda,New,,,8,"thi?t k? trang Spa  cover HN, HCM",DucTP,,,,,,,,,,,,,,,,,,,,,,
11/24/2015,Panda,New,,,8,"lam Q&A deign Q3, Q4",DucTP,,,,,,,,,,,,,,,,,,,,,,
11/6/2015,Panda,New,,,8,trang nhà hang và sua trang tour,ductp,,,,,,,,,,,,,,,,,,,,,,
11/26/2015,Freesale VN site,Edit,,,4.5,S?a link t? slider Khách hàng ??n trang Customer,TruyenLC,done,13:00,17:30,,,,,,,,,,,,,,,,,,,
11/27/2015,Freesale VN site,,,,4.5,Chuy?n server + s?a l?i trang customer,TruyenLC,done,08:30,14:00,01:00,,,,,,,,,,,,,,,,,,
11/25/2015,Panda,New,,,8,cover HN-HCM,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/26/2015,Panda,New,,,8,edit map HCM ,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/27/2015,Panda,New,,,8,New pickup page,DucTP,,,,,,,,,,,,,,,,,,,,,,
11/30/2015,Panda,New,,,4,"H?p panda, add noi dung trang Tour",DucTP,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
