Work date,??NO,Project Name,Type,Page number,Std. DUR,Real DUR,Page name,Designer,Status,Start work,End work,Break/Fix,Note,,,,,,,
27/11/2015,7,takamatsu,new,10,0,7,check & fix,NgocTT,work:done,09:00,17:00,01:00,,,,,,,,
30/11/2015,2,yakiniku-mirai,new,9,8,4.5,index,NgocTT,working,13:00,17:30,,,,,,,,,
27/11/2015,12,okinawa-ziel,new,6,4,3.5,lunch,TrucTTT,work:done,09:00,13:30,01:00,,,,,,,,
27/11/2015,12,okinawa-ziel,new,6,4,4,dinner,TrucTTT,work:done,13:30,17:30,,,,,,,,,
30/11/2015,12,okinawa-ziel,new,6,4,3.5,shopinfo,TrucTTT,work:done,09:00,13:30,01:00,,,,,,,,
30/11/2015,12,okinawa-ziel,fix,6,0,4,check all pages,TrucTTT,work:done,13:30,17:30,,,,,,,,,
30/11/2015,13,nitoryu,fix,6,0,5,check fix all pages,LinhKT,work:done,11:30,17:30,01:00,,,,,,,,
25/11/2015,13,???,new,7,4,3.5,menu,TriN,work:done,14:00,17:30,,,,,,,,,
26/11/2015,10,amoretto???????,new,6,4,5,sake,TriN,work:done,08:30,14:30,01:00,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
